"Date","HOG","F","MSFT","NFLX","FB","BT"
"10/22/2018","37.138256","7.749176","107.933945","329.540009","154.779999","6612.359863"
"10/23/2018","36.313595","7.915032","106.427612","333.160004","154.389999","6583.049805"
"10/24/2018","36.188938","7.537250","100.737038","301.829987","146.039993","6574.520020"
"10/25/2018","35.776615","8.283602","106.624535","312.869995","150.949997","6488.720215"
"10/26/2018","34.510864","8.274388","105.305260","299.829987","145.369995","6469.279785"
"10/29/2018","35.019077","8.550815","102.243370","284.839996","142.089996","6490.560059"
"10/30/2018","36.208118","8.716672","102.125237","285.809998","146.220001","6509.870117"
"10/31/2018","36.649212","8.799601","105.157578","301.779999","151.789993","6483.229980"
"11/1/2018","37.675240","8.560030","104.281342","317.380005","151.750000","6470.220215"
"11/2/2018","38.164276","8.642959","104.517632","309.100006","150.350006","6476.250000"
"11/5/2018","37.598526","8.781172","105.846748","315.440002","148.679993","6462.770020"
"11/6/2018","37.886192","8.790385","106.053505","310.839996","149.940002","6457.209961"
"11/7/2018","39.276600","8.845671","110.227905","327.500000","151.529999","6470.169922"
"11/8/2018","39.180714","8.716672","110.021149","317.920013","147.869995","6470.740234"
"11/9/2018","39.056057","8.642959","107.874870","303.470001","144.960007","6313.910156"
"11/12/2018","39.104000","8.744314","105.216652","294.070007","141.550003","6309.109863"
"11/13/2018","39.890297","8.790385","105.285568","294.399994","142.160004","6342.609863"
"11/14/2018","39.813591","8.790385","103.792503","286.730011","144.220001","6381.299805"
"11/15/2018","39.679340","8.578460","106.076599","290.059998","143.850006","6394.660156"
"11/16/2018","39.679340","8.338887","107.075256","286.209991","139.529999","6376.319824"
"11/19/2018","38.538246","8.523173","103.446434","270.600006","131.550003","6467.049805"
"11/20/2018","38.432770","8.348103","100.569077","266.980011","132.429993","6433.740234"
"11/21/2018","38.423180","8.394173","101.953369","262.130005","134.820007","6479.720215"
"11/23/2018","38.250580","8.412602","101.913811","258.820007","131.729996","6529.680176"
"11/26/2018","39.698517","8.661386","105.275681","261.429993","136.380005","6446.060059"
"11/27/2018","39.928658","8.550815","105.938156","266.630005","135.000000","6377.990234"
"11/28/2018","41.040977","8.670602","109.873520","282.649994","136.759995","6396.370117"
"11/29/2018","40.743725","8.633743","108.953957","288.750000","138.679993","6408.180176"
"11/30/2018","40.551945","8.670602","109.646095","286.130005","140.610001","6375.080078"
"12/3/2018","41.606735","8.845671","110.832626","290.299988","141.089996","6339.169922"
"12/4/2018","40.139614","8.458673","107.302681","275.329987","137.929993","5741.470215"
"12/6/2018","37.828663","8.311246","107.965172","282.880005","139.630005","5647.500000"
"12/7/2018","36.677979","8.126960","103.644188","265.140015","137.419998","5586.270020"
"12/10/2018","35.450588","7.850533","106.383110","269.700012","141.850006","5568.939941"
"12/11/2018","34.625931","7.868962","107.371895","265.320007","142.080002","5615.259766"
"12/12/2018","34.539631","7.961104","107.856400","274.880005","144.500000","4809.620117"
"12/13/2018","33.842060","7.832104","108.222252","276.019989","145.009995","4441.810059"
"12/14/2018","33.638599","7.850533","104.840607","266.839996","144.059998","4593.040039"
"12/17/2018","32.882889","7.832104","101.735832","262.799988","140.190002","4320.680176"
"12/18/2018","32.776318","7.804463","102.803719","270.940002","143.660004","4343.419922"
"12/19/2018","32.214378","7.666248","102.526863","266.769989","133.240005","3854.110107"
"12/20/2018","31.981855","7.610963","100.371323","260.579987","133.399994","4004.149902"
